"Contrat","Salaire base mensuel","Augmentation","Promotion","Sexe","Ancienneté_an","Service","Âge","rank"
"CDI","4636 - 6424",1,0,"F","11-16","RH",,76
"CDI","1059 - 2848",0,0,"F","00-06","Commercial",,77
"CDI","8212 - 10000",1,0,"F","11-16","Commercial",,78
"CDI","4636 - 6424",0,0,"H","21-25","Commercial",,79
"CDI","4636 - 6424",1,1,"F","06-11","Commercial",,80
"CDI","6424 - 8212",0,0,"F","21-25","Compta Finances",,81
"CDI","4636 - 6424",0,0,"H","21-25","R&D",,82
"CDI","1059 - 2848",0,0,"H","21-25","Commercial",,83
"CDI","1059 - 2848",1,1,"H","00-06","Compta Finances",,84
"CDI","2848 - 4636",1,1,"F","21-25","Commercial",,85
"CDI","2848 - 4636",1,1,"F","00-06","Compta Finances",,86
"CDI","1059 - 2848",0,0,"F","00-06","Compta Finances",,87
"CDI","8212 - 10000",0,1,"F","06-11","Commercial",,88
"CDI","6424 - 8212",1,1,"H","21-25","R&D",,89
"CDI","4636 - 6424",1,0,"F","06-11","Marketing",,90
"CDI","1059 - 2848",0,1,"H","21-25","RH",,91
"CDI","2848 - 4636",0,0,"F","21-25","RH",,92
"CDI","4636 - 6424",0,1,"H","21-25","RH",,93
"CDI","2848 - 4636",0,1,"H","11-16","Marketing",,94
"CDI","4636 - 6424",1,0,"H","00-06","Consultant",,95
"CDI","8212 - 10000",1,0,"H","16-21","Commercial",,96
"CDI","4636 - 6424",0,1,"H","16-21","Consultant",,97
"CDI","8212 - 10000",1,0,"F","06-11","Compta Finances",,98
"CDI","2848 - 4636",0,1,"F","11-16","RH",,99
"CDI","2848 - 4636",0,1,"H","11-16","RH",,100
"CDI","6424 - 8212",0,1,"H","06-11","RH",,101
"CDI","4636 - 6424",1,0,"H","06-11","Consultant",,102
"CDI","1059 - 2848",0,1,"F","21-25","Consultant",,103
"CDI","8212 - 10000",0,1,"H","06-11","Compta Finances",,104
"CDI","6424 - 8212",0,0,"F","16-21","Consultant",,105
"CDI","2848 - 4636",0,0,"F","06-11","Marketing",,106
"CDI","2848 - 4636",0,0,"H","21-25","Consultant",,107
"CDI","2848 - 4636",1,0,"H","06-11","Consultant",,108
"CDI","6424 - 8212",1,0,"F","21-25","RH",,109
"CDI","2848 - 4636",1,1,"H","00-06","Consultant",,110
"CDI","2848 - 4636",1,0,"F","16-21","Commercial",,111
"CDD","1059 - 2848",1,1,"H","00-06","Consultant",,112
"CDI","4636 - 6424",0,1,"F","06-11","RH",,113
"CDD","2848 - 4636",1,1,"H","00-06","Marketing",,114
"CDI","6424 - 8212",0,0,"F","21-25","Marketing",,115
"CDI","2848 - 4636",0,1,"F","11-16","Consultant",,116
"CDI","8212 - 10000",0,0,"H","16-21","Commercial",,117
"CDI","1059 - 2848",0,1,"H","11-16","Consultant",,118
"CDI","1059 - 2848",1,1,"F","11-16","Compta Finances",,119
"CDI","2848 - 4636",0,0,"H","06-11","Marketing",,120
"CDI","8212 - 10000",0,1,"H","11-16","Compta Finances",,121
"CDI","2848 - 4636",1,0,"F","16-21","Marketing",,122
"CDI","4636 - 6424",0,0,"H","16-21","Commercial",,123
"CDI","6424 - 8212",0,0,"F","11-16","RH",,124
"CDI","6424 - 8212",1,0,"F","21-25","Commercial",,125
"CDI","4636 - 6424",0,0,"H","00-06","Marketing",,126
"CDI","4636 - 6424",0,0,"F","16-21","RH",,127
"CDI","4636 - 6424",0,1,"F","21-25","R&D",,128
"CDI","8212 - 10000",0,0,"F","16-21","Commercial",,129
"CDI","2848 - 4636",0,0,"H","11-16","Compta Finances",,130
"CDD","1059 - 2848",1,1,"F","00-06","Compta Finances",,131
"CDI","8212 - 10000",1,0,"H","06-11","RH",,132
"CDI","2848 - 4636",0,0,"F","21-25","Marketing",,133
"CDI","6424 - 8212",1,0,"F","21-25","Commercial",,134
"CDI","1059 - 2848",1,0,"H","21-25","Consultant",,135
"CDI","8212 - 10000",0,0,"H","21-25","Marketing",,136
"CDI","2848 - 4636",0,0,"H","21-25","Commercial",,137
"CDI","8212 - 10000",1,0,"F","06-11","Commercial",,138
"CDI","8212 - 10000",0,1,"H","06-11","Commercial",,139
"CDI","8212 - 10000",0,1,"F","11-16","Compta Finances",,140
"CDI","6424 - 8212",0,1,"H","21-25","R&D",,141
"CDI","6424 - 8212",1,1,"H","21-25","Commercial",,142
"CDI","1059 - 2848",1,0,"H","11-16","Marketing",,143
"CDI","6424 - 8212",1,1,"H","06-11","Consultant",,144
"CDI","4636 - 6424",0,0,"H","21-25","Compta Finances",,145
"CDI","8212 - 10000",0,0,"H","21-25","RH",,146
"CDI","1059 - 2848",0,0,"H","11-16","Consultant",,147
"CDI","2848 - 4636",1,1,"H","11-16","Compta Finances",,148
"CDI","8212 - 10000",0,1,"H","16-21","Commercial",,149
"CDI","2848 - 4636",0,1,"F","21-25","Marketing",,150
"CDI","8212 - 10000",0,0,"F","00-06","Compta Finances",,151
"CDI","6424 - 8212",1,0,"H","06-11","Commercial",,152
"CDI","1059 - 2848",0,1,"F","11-16","Compta Finances",,153
"CDI","2848 - 4636",1,1,"F","06-11","Commercial",,154
"CDI","2848 - 4636",1,0,"F","11-16","Consultant",,155
"CDI","2848 - 4636",0,0,"H","16-21","RH",,156
"CDI","4636 - 6424",0,1,"H","00-06","Consultant",,157
"CDI","6424 - 8212",0,1,"F","16-21","Commercial",,158
"CDI","1059 - 2848",1,1,"H","16-21","Compta Finances",,159
"CDI","4636 - 6424",0,1,"H","06-11","Consultant",,160
"CDI","2848 - 4636",0,1,"F","00-06","Marketing",,161
"CDI","6424 - 8212",1,0,"H","11-16","RH",,162
"CDI","1059 - 2848",1,0,"H","00-06","Consultant",,163
"CDI","2848 - 4636",1,0,"F","16-21","RH",,164
"CDI","4636 - 6424",0,1,"F","06-11","Consultant",,165
"CDI","2848 - 4636",1,1,"F","00-06","Commercial",,166
"CDI","4636 - 6424",0,1,"H","21-25","Commercial",,167
"CDI","4636 - 6424",1,1,"F","11-16","Consultant",,168
"CDI","2848 - 4636",1,0,"H","06-11","RH",,169
"CDD","2848 - 4636",1,1,"F","00-06","Compta Finances",,170
"CDI","4636 - 6424",1,0,"F","06-11","Marketing",,171
"CDI","2848 - 4636",1,1,"F","16-21","Marketing",,172
"CDI","1059 - 2848",1,1,"F","00-06","Consultant",,173
"CDD","2848 - 4636",1,1,"F","00-06","Marketing",,174
"CDI","8212 - 10000",1,1,"H","16-21","Consultant",,175
"CDI","1059 - 2848",0,1,"H","06-11","Commercial",,176
"CDI","2848 - 4636",1,0,"H","16-21","Marketing",,177
"CDI","1059 - 2848",0,0,"F","11-16","Commercial",,178
"CDI","8212 - 10000",0,0,"H","16-21","RH",,179
"CDI","4636 - 6424",1,0,"F","11-16","Consultant",,180
"CDI","6424 - 8212",1,0,"H","06-11","Consultant",,181
"CDI","6424 - 8212",1,0,"F","06-11","Commercial",,182
"CDI","1059 - 2848",1,1,"F","16-21","Consultant",,183
"CDI","8212 - 10000",0,0,"H","06-11","R&D",,184
"CDI","1059 - 2848",0,1,"H","21-25","Commercial",,185
"CDI","8212 - 10000",1,1,"H","21-25","Consultant",,186
"CDI","6424 - 8212",0,1,"F","21-25","Compta Finances",,187
"CDD","1059 - 2848",1,1,"F","00-06","Marketing",,188
"CDI","4636 - 6424",0,1,"H","06-11","RH",,189
"CDD","2848 - 4636",1,1,"F","00-06","Commercial",,190
"CDI","8212 - 10000",1,1,"H","06-11","RH",,191
"CDI","4636 - 6424",1,1,"F","16-21","RH",,192
"CDI","4636 - 6424",1,0,"F","21-25","Commercial",,193
"CDI","8212 - 10000",1,1,"H","06-11","Consultant",,194
"CDI","6424 - 8212",0,1,"F","06-11","Compta Finances",,195
"CDI","1059 - 2848",0,1,"H","16-21","Compta Finances",,196
"CDI","4636 - 6424",0,1,"H","06-11","Consultant",,197
"CDI","1059 - 2848",1,1,"H","06-11","Consultant",,198
"CDI","6424 - 8212",1,1,"F","00-06","Consultant",,199
"CDD","2848 - 4636",1,1,"F","00-06","Consultant",,200
"CDI","4636 - 6424",1,0,"F","00-06","R&D",,201
"CDI","1059 - 2848",0,1,"H","06-11","Compta Finances",,202
"CDI","2848 - 4636",1,1,"H","21-25","Marketing",,203
"CDD","2848 - 4636",1,1,"F","00-06","Commercial",,204
"CDI","6424 - 8212",1,1,"H","21-25","Marketing",,205
"CDI","8212 - 10000",1,1,"F","06-11","R&D",,206
"CDI","1059 - 2848",1,1,"F","00-06","Marketing",,207
"CDD","1059 - 2848",1,1,"H","00-06","Marketing",,208
"CDI","2848 - 4636",1,0,"H","00-06","RH",,209
"CDD","2848 - 4636",1,1,"F","00-06","Consultant",,210
"CDI","2848 - 4636",0,0,"H","16-21","Compta Finances",,211
"CDI","2848 - 4636",1,0,"F","16-21","Consultant",,212
"CDI","1059 - 2848",0,0,"H","16-21","Consultant",,213
"CDI","6424 - 8212",1,1,"H","11-16","Compta Finances",,214
"CDI","1059 - 2848",0,0,"F","06-11","Consultant",,215
"CDI","8212 - 10000",1,0,"H","11-16","Commercial",,216
"CDI","6424 - 8212",0,0,"F","00-06","RH",,217
"CDI","6424 - 8212",1,1,"F","00-06","Compta Finances",,218
"CDI","8212 - 10000",0,0,"H","16-21","Commercial",,219
"CDI","4636 - 6424",1,0,"H","11-16","RH",,220
"CDI","1059 - 2848",0,1,"H","21-25","Consultant",,221
"CDI","2848 - 4636",0,0,"H","21-25","Consultant",,222
"CDI","2848 - 4636",0,1,"H","21-25","RH",,223
"CDI","2848 - 4636",1,1,"H","06-11","Marketing",,224
"CDI","4636 - 6424",1,1,"H","21-25","Marketing",,225
"CDI","2848 - 4636",0,1,"F","06-11","Commercial",,226
"CDI","1059 - 2848",1,1,"H","06-11","Consultant",,227
"CDI","2848 - 4636",0,1,"H","00-06","RH",,228
"CDI","1059 - 2848",1,0,"H","06-11","RH",,229
"CDD","1059 - 2848",1,1,"F","00-06","Consultant",,230
"CDI","1059 - 2848",1,1,"F","00-06","Compta Finances",,231
"CDI","6424 - 8212",0,1,"H","11-16","Marketing",,232
"CDI","8212 - 10000",0,1,"H","00-06","R&D",,233
"CDI","2848 - 4636",1,1,"F","11-16","Commercial",,234
"CDI","1059 - 2848",0,0,"H","11-16","Consultant",,235
"CDI","4636 - 6424",1,0,"F","06-11","Consultant",,236
"CDI","8212 - 10000",0,1,"F","16-21","Compta Finances",,237
"CDI","2848 - 4636",0,0,"F","21-25","Consultant",,238
"CDI","1059 - 2848",1,1,"F","00-06","Consultant",,239
"CDI","8212 - 10000",0,0,"H","11-16","R&D",,240
"CDI","4636 - 6424",1,1,"H","21-25","Marketing",,241
"CDI","4636 - 6424",0,1,"H","11-16","Commercial",,242
"CDI","6424 - 8212",0,1,"H","16-21","R&D",,243
"CDI","4636 - 6424",1,1,"F","21-25","Commercial",,244
"CDI","6424 - 8212",0,1,"F","16-21","Consultant",,245
"CDI","4636 - 6424",1,1,"F","00-06","RH",,246
"CDI","1059 - 2848",0,0,"H","16-21","Compta Finances",,247
"CDI","4636 - 6424",0,1,"H","06-11","Marketing",,248
"CDI","2848 - 4636",0,1,"F","06-11","RH",,249
"CDI","8212 - 10000",0,1,"H","16-21","Marketing",,250
"CDI","4636 - 6424",0,0,"H","06-11","Commercial",,251
"CDD","2848 - 4636",1,0,"H","00-06","R&D",,252
"CDI","1059 - 2848",1,0,"H","21-25","Consultant",,253
"CDI","2848 - 4636",1,1,"F","11-16","RH",,254
"CDI","2848 - 4636",0,1,"H","06-11","Consultant",,255
"CDI","8212 - 10000",0,0,"F","21-25","Consultant",,256
